Years,Male,Female
2550,1.5,1.2
2551,1.5,1.3
2552,1.5,1.4
2553,1.1,1
2554,0.7,0.6
2555,0.7,0.6
2556,0.8,0.7
2557,0.9,0.8
2558,0.9,0.9
2559,1,1
